Row	CN4	CN22	CN38	CN78	hGR
rGlu	1.1712784628933	1.55113462848981	2.11360169428581	3.38849895280826	5.68425176654276
ETC_rATP	8.34024078926385	12.4258723360928	15.3327253024361	19.3114060001621	22.4650678927881
ETC_YATP	7.12063019468638	8.01082775657628	7.25431160652861	5.69910342871953	3.95215919622287
glycolysis_rATP	1.41906802455436	2.18743563378074	2.78739254285948	5.08611456145601	8.41300649170825
glycolysis_YATP	1.21155478352174	1.41021649159521	1.31878799605209	1.50099339922795	1.4800552187408
GAEC_rATP	5.6050537825142	5.7419835049378	5.17278260285971	5.02516013435128	15.5844562068213
GAEC_YATP	4.78541521942492	3.70179570455997	2.44737814927216	1.48300477714081	2.74168999665896
NGAM_rATP	1.55041941079663	5.91920394206096	10.6709946270603	16.7909579093131	8.08971459080974
NGAM_YATP	1.32369838592164	3.81604783578581	5.04872543200056	4.95527906107137	1.42318020437192
GAEC+NGAM_rATP	7.15547319331084	11.6611874469988	15.84377722992	21.8161180436643	23.674170797631
GAEC+NGAM_YATP	6.10911360534656	7.51784354034578	7.49610358127272	6.43828383821218	4.16487020103087
rPDH	0.982857638086507	1.40320238386906	1.65318985189815	2.17141722407109	2.39962879292088
rIDH	0.753610618475393	1.15782790719148	1.54212000548859	1.73079068891153	1.80511213205579
rMDHc	-0.0971222704296371	-0.112941740833262	-1.86114423458513	-1.4386584227033	-1.02865842088662
rMDHm	0.856259603823012	1.27611993274912	3.32945304274096	3.44572218100834	2.83045844114326
rNDE	1.67662811196019	2.48489779107522	3.57181740830586	4.68890431914456	6.63569609428041
rNAD[c]	1.85550221647549	2.68653731253028	8.14436868566912	10.09290950057	13.5882224824193
rNAD[m]	3.96930085691477	6.04110692368914	10.9758518477953	13.6094227535412	12.6569671075238
rNAD[p]	0.00113915186223091	0.00424536340315019	0.00716688750217401	0.0124928786811523	0.00597610637580206
rNAD[erm]	0.0108401487801081	0.00980670021396722	0.0155431162137746	0.0174530877892167	0.0382728600097914
rNAD[tot]	5.8367823740326	8.74169629983654	19.1429305371803	23.7322782205816	26.2894385563287
